Count	Reference	Value	Footprint	Datasheet	Vendor	Vendor part	Supplier	Supplier part	Supplier link
6	C7 C11 C15 C16 C17 C18	0.1uF	Capacitors_SMD:C_1206_HandSoldering	http://www.farnell.com/datasheets/1825494.pdf	MULTICOMP	MCSH31B104K250CT	AliExpress	32274650296	http://www.aliexpress.com/item/1206-100NF-104M-Y5V-50V-SMD-Capacitor-Multilayer-chip-ceramic-capacitor-100Pcs-Lot/32274650296.html
1	C8	C	Resistors_Universal:Resistor_SMD+THTuniversal_0805to1206_RM10_HandSoldering		User specific		Missing	Missing	Missing
1	C9	0.1uF	Capacitors_SMD:C_1206_HandSoldering	http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf	Vishay	VJ1206Y104KXXCW1BC	AliExpress	32323646062	http://www.aliexpress.com/item/200pcs-lot-CL31B104KACNNNC-Ceramic-Capacitors-CAP-CER-0-1UF-25V-10-X7R-1206/32323646062.html
7	JP1 JP3 JP4 JP5 JP6 JP7 JP10	Jumper_NO_Small	Pin_Headers:Pin_Header_Straight_1x02	https://www1.elfa.se/data1/wwwroot/assets/datasheets/cgrid_III_90120_eng_dwg.pdf	Wurth Electronics	61300211121	Missing	Missing	Missing
3	JP2 JP8 JP9	JUMPER3	Pin_Headers:Pin_Header_Straight_1x03	http://www.mouser.com/ds/2/1/3m_ts0816-349901.pdf	HARWIN	M20-9990346	Missing	Missing	Missing
1	L1	4.7uH	Capacitors_SMD:C_0805_HandSoldering	http://www.yuden.co.jp/productdata/catalog/en/wound02_e.pdf	Taiyo Yuden	CBC2012T4R7M	Missing	Missing	Missing
1	P1	MYSX_1.5	mysensors_connectors:MYSX_1.5	http://www.mouser.com/ds/2/181/M20-998-351176.pdf	HARWIN	M20-9981045	Missing	Missing	Missing
1	P2	CONN_02X03	Pin_Headers:Pin_Header_Straight_2x03	http://www.farnell.com/datasheets/1712126.pdf	HARWIN	M20-9980346	Missing	Missing	Missing
2	P3 P4	CONN_01X03	Pin_Headers:Pin_Header_Straight_1x03	http://www.mouser.com/ds/2/1/3m_ts0816-349901.pdf	HARWIN	M20-9993646	Missing	Missing	Missing
2	Q1 Q2	DMP3056L-7	Housings_SOT-23_SOT-143_TSOT-6:SOT-23_Handsoldering	http://www.mouser.com/ds/2/115/DMP3056L-526286.pdf	Diodes Incorporated	DMP3056L-7	AliExpress	32446073237	http://www.aliexpress.com/item/Free-Shipping-20PCS-lot-DMP3056L-7-MOSFET-P-CH-30V-4-3A-SOT23-3056-DMP3056/32446073237.html
1	R1	150K	Resistors_SMD:R_0805_HandSoldering	http://www.farnell.com/datasheets/1581132.pdf	Vishay / Dale	CRCW0805150KFKEA	AliExpress	32218540982	http://www.aliexpress.com/item/0805-SMD-Resistors-150K-150K-ohm-1-8W-1-0805-SMD-Resistors-0805-Chip-resistor-500pcs/32218540982.html
4	R2 R3 R4 R5	10K	Resistors_SMD:R_0805_HandSoldering	https://www1.elfa.se/data1/wwwroot/assets/datasheets/flD-CRCW-e3_data_en.pdf	Vishay	CRCW080510K0FKEA	AliExpress	681263963	http://www.aliexpress.com/item/1000-PCS-0805-10K-103-1-SMD-Chip-Resistors-Surface-Mount/681263963.html
4	R6 R7 R8 R9	56K	Resistors_SMD:R_0805_HandSoldering	https://www1.elfa.se/data1/wwwroot/assets/datasheets/flD-CRCW-e3_data_en.pdf	Panasonic	ERJP06F5602V	AliExpress	32218601304	http://www.aliexpress.com/item/0805-SMD-Resistors-56K-56K-ohm-1-8W-1-0805-SMD-Resistors-0805-Chip-resistor-500pcs/32218601304.html
1	RV1	1M	Potentiometers:Potentiometer_Bourns_3296Y_3-8Zoll_Angular_ScrewUp	http://www.farnell.com/datasheets/1815117.pdf	BOURNS	3296Y-1-105LF	AliExpress	32385304606	http://www.aliexpress.com/item/3296Y-1000000ohm-1Mohm-3296Y-1-105LF-Multiturn-Metallic-Glass-Glaze-Potentiometer-Bourns-3296-series/32385304606.html
1	U1	LD1117DT33TR	mysensors_obscurities:d-pak-kcswalter	http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf	STMicroelectronics	LD1117DT33TR	AliExpress	32395965284	http://www.aliexpress.com/item/ICIC-LD1117-LD1117DT33TR-LD1117-3-3V-TO-252-Original-authentic-and-new-Free-Shipping-IC/32395965284.html
1	U2	TPS61097A	mysensors_handsoldering:SOT-23-5_Handsoldering	http://www.ti.com/lit/ds/symlink/tps61097a-33.pdf	Texas Instruments	TPS61097A-33DBVT	AliExpress	32369898019	http://www.aliexpress.com/item/Free-Shipping-5PCS-lot-TPS61097-33DBVT-IC-REG-BST-SYNC-3-3V-1A-SOT23-5-61097/32369898019.html
1	U3	ATSHA204A	Housings_SOT-23_SOT-143_TSOT-6:SOT-23_Handsoldering	http://www.mouser.com/ds/2/36/Atmel-8885-CryptoAuth-ATSHA204A-Datasheet-336392.pdf	Atmel	ATSHA204A	Missing	Missing	Missing
1	U4	RFM69HW	mysensors_radios:RFM69HW_SMD_ThroughHole_Handsoldering	http://modtronicsaustralia.com/wp-content/uploads/2014/11/RFM69HW-V1.3.pdf	HOPE Microelectronics	RFM69HW	AliExpress	2010762994	http://www.aliexpress.com/item//2010762994.html?aff_platform=aaf&sk=unUFyvvZB%3A&cpt=1441897274529&aff_trace_key=e3b1cec3d07644edbd4dddec09283fd7-1441897274529-05462-unUFyvvZB
1	U5	NRF24L01	mysensors_radios:NRF24L01	http://www.farnell.com/datasheets/1697510.pdf	MULTICOMP	2214S-08SG-85	Missing	Missing	Missing
1	U6	AT25DF512C	Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm	http://www.mouser.com/ds/2/590/DS-AT25DF512C-030-534014.pdf	Adesto Technologies	AT25DF512C-SSHN-B	Missing	Missing	Missing
1	U7	ArduinoProMini	mysensors_arduino:pro_mini	http://www.arduino.cc/en/uploads/Main/Arduino-Pro-Mini-schematic.pdf	Arduino	Pro Mini (China model)	AliExpress	32313595044	http://www.aliexpress.com/item/1pcs-lot-Pro-Mini-328-Mini-3-3V-8M-ATMEGA328-ATMEGA328P-AU-3-3V-8MHz-for/32313595044.html
1	U8	Si7021	Housings_DFN_QFN:DFN-6-1EP_3x3mm_Pitch0.95mm	https://www.silabs.com/Support%20Documents/TechnicalDocs/Si7021-A20.pdf	Silicon Labs	Si7021-A20-GM1	Missing	Missing	Missing
1	U9	TPS61221	Housings_SOT-23_SOT-143_TSOT-6:SC-70-6	http://www.ti.com/lit/gpn/tps61221	Texas Instruments	TPS61221DCK	AliExpress	32375062391	http://www.aliexpress.com/item/20PCS-TPS61221DCKR-TPS61221-SC70-6/32375062391.html
