Count,Reference,Value,Footprint,Datasheet,Vendor,Vendor part,Supplier,Supplier part,Supplier link
2,P3 P4,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,http://www.mouser.com/ds/2/1/3m_ts0816-349901.pdf,HARWIN,M20-9993646,Mouser,517-9611036804AR,http://www.mouser.com/ProductDetail/3M-Electronic-Solutions-Division/961103-6804-AR/?qs=sGAEpiMZZMs%252bGHln7q6pm53vbKor1bMJoeppOe7LBrw%3d
2,Q1 Q2,DMP3056L-7,Housings_SOT-23_SOT-143_TSOT-6:SOT-23_Handsoldering,http://www.mouser.com/ds/2/115/DMP3056L-526286.pdf,Diodes Incorporated,DMP3056L-7,Mouser,621-DMP3056L-7,http://www.mouser.com/ProductDetail/Diodes-Incorporated/DMP3056L-7/?qs=sGAEpiMZZMshyDBzk1%2fWi0dsXOGve85x57LCxQMsytBvvrEFpdn1rw%3d%3d
1,R1,150K,Resistors_SMD:R_0805_HandSoldering,http://www.farnell.com/datasheets/1581132.pdf,Vishay / Dale,CRCW0805150KFKEA,Mouser,71-CRCW0805-150K-E3,http://se.mouser.com/ProductDetail/Vishay-Dale/CRCW0805150KFKEA/?qs=sGAEpiMZZMvdGkrng054txEw7b1YnvGukcj15DsDxV0%3d
4,R2 R3 R4 R5,10K,Resistors_SMD:R_0805_HandSoldering,https://www1.elfa.se/data1/wwwroot/assets/datasheets/flD-CRCW-e3_data_en.pdf,Vishay,CRCW080510K0FKEA,Mouser,754-RR1220P-103D,http://se.mouser.com/Search/ProductDetail.aspx?R=RR1220P-103-Dvirtualkey67280000virtualkey754-RR1220P-103D
4,R6 R7 R8 R9,56K,Resistors_SMD:R_0805_HandSoldering,https://www1.elfa.se/data1/wwwroot/assets/datasheets/flD-CRCW-e3_data_en.pdf,Panasonic,ERJP06F5602V,Mouser,754-RR1220P-563D,http://se.mouser.com/ProductDetail/Susumu/RR1220P-563-D/?qs=sGAEpiMZZMu61qfTUdNhG%2fDhcyQpRg8M1xaFMP9nk6g%3d
1,RV1,1M,Potentiometers:Potentiometer_Bourns_3296Y_3-8Zoll_Angular_ScrewUp,http://www.farnell.com/datasheets/1815117.pdf,BOURNS,3296Y-1-105LF,Mouser,652-3296Y-1-105LF,http://se.mouser.com/ProductDetail/Bourns/3296Y-1-105LF/?qs=sGAEpiMZZMvygUB3GLcD7sSg8po3Zpo3B4ds1vJ8JQM%3d
1,U1,LD1117DT33TR,mysensors_obscurities:d-pak-kcswalter,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf,STMicroelectronics,LD1117DT33TR,Mouser,511-LD1117DT33-TR,http://se.mouser.com/ProductDetail/STMicroelectronics/LD1117DT33TR/?qs=sGAEpiMZZMvYvv22R2xfeIrtZ8xsVhPOTRtOhMdYKBM%3d
1,U2,TPS61097A,mysensors_handsoldering:SOT-23-5_Handsoldering,http://www.ti.com/lit/ds/symlink/tps61097a-33.pdf,Texas Instruments,TPS61097A-33DBVT,Mouser,595-TPS61097A-33DBVT,http://www.mouser.com/ProductDetail/Texas-Instruments/TPS61097A-33DBVT/?qs=sGAEpiMZZMtfXl%252bsADUrUCB2uhymfgl%2fcdZ3ROtzxNM%3d
1,U3,ATSHA204A,Housings_SOT-23_SOT-143_TSOT-6:SOT-23_Handsoldering,http://www.mouser.com/ds/2/36/Atmel-8885-CryptoAuth-ATSHA204A-Datasheet-336392.pdf,Atmel,ATSHA204A,Mouser,566-ATSHA204ASTUCZ-T,http://www.mouser.com/Search/ProductDetail.aspx?R=ATSHA204A-STUCZ-Tvirtualkey55660000virtualkey566-ATSHA204ASTUCZ-T
1,U4,RFM69HW,mysensors_radios:RFM69HW_SMD_ThroughHole_Handsoldering,http://modtronicsaustralia.com/wp-content/uploads/2014/11/RFM69HW-V1.3.pdf,HOPE Microelectronics,RFM69HW,Missing,Missing,Missing
1,U5,NRF24L01,mysensors_radios:NRF24L01,http://www.farnell.com/datasheets/1697510.pdf,MULTICOMP,2214S-08SG-85,Mouser,517-929975-01-04-RK,http://www.mouser.com/ProductDetail/3M-Electronic-Solutions-Division/929975-01-04-RK/?qs=sGAEpiMZZMs%252bGHln7q6pm%252bCiuHjnbsudhj3Q0sp5gbo%3d
1,U6,AT25DF512C,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,http://www.mouser.com/ds/2/590/DS-AT25DF512C-030-534014.pdf,Adesto Technologies,AT25DF512C-SSHN-B,Mouser,988-AT25DF512CSSHN-B,http://www.mouser.com/Search/ProductDetail.aspx?R=AT25DF512C-SSHN-Bvirtualkey58070000virtualkey988-AT25DF512CSSHN-B
1,U7,ArduinoProMini,mysensors_arduino:pro_mini,http://www.arduino.cc/en/uploads/Main/Arduino-Pro-Mini-schematic.pdf,Arduino,Pro Mini (China model),Missing,Missing,Missing
1,U8,Si7021,Housings_DFN_QFN:DFN-6-1EP_3x3mm_Pitch0.95mm,https://www.silabs.com/Support%20Documents/TechnicalDocs/Si7021-A20.pdf,Silicon Labs,Si7021-A20-GM1,Mouser,634-SI7021-A20-GM1,http://se.mouser.com/ProductDetail/Silicon-Laboratories/Si7021-A20-GM1/?qs=%2fha2pyFadui6Dvt2xzmSk506p8kuq9IPcwxXOGvbC6DKuSuYwfl5jiRwUNja2Nap
1,U9,TPS61221,Housings_SOT-23_SOT-143_TSOT-6:SC-70-6,http://www.ti.com/lit/gpn/tps61221,Texas Instruments,TPS61221DCK,Mouser,595-TPS61221DCKR,http://www.mouser.se/ProductDetail/Texas-Instruments/TPS61221DCKR/?qs=sGAEpiMZZMtitjHzVIkrqSrJfzSN7oNP2INrRQr4QsY%3d
